,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_ARTEMIS_DENSITY,SCALED_ARTEMIS_MAG_AVG
89,2018-03-26 16:00:00+00:00,-6.9,108.9,4.1,481.0,2.1,2018-03-26 17:00:00+00:00,3.78,2.1919999999999993,463.2199999999999,1.0,-6.799999999999999,109.29999999999998,2018-03-26 16:00:00+00:00,1,0.10000000000000142,0.39999999999997726,2.1919999999999993,3.78
90,2018-03-26 17:00:00+00:00,-6.9,109.0,3.8,478.0,2.0,2018-03-26 18:00:00+00:00,3.5466666666666673,2.191666666666667,462.3166666666668,1.0,-6.799999999999998,109.29999999999997,2018-03-26 17:00:00+00:00,1,0.10000000000000231,0.29999999999996874,2.191666666666667,3.5466666666666673
91,2018-03-26 18:00:00+00:00,-6.9,109.0,3.5,462.0,1.5,2018-03-26 19:00:00+00:00,7.161428571428571,4.2457142857142856,408.54285714285703,1.0,-6.799999999999998,109.29999999999997,2018-03-26 18:00:00+00:00,1,0.10000000000000231,0.29999999999996874,4.2457142857142856,7.161428571428571
92,2018-03-26 19:00:00+00:00,-6.9,109.0,3.9,458.0,1.2,2018-03-26 20:00:00+00:00,9.13058823529412,4.327647058823531,387.4000000000001,1.0,-6.800000000000004,109.30000000000007,2018-03-26 19:00:00+00:00,1,0.09999999999999609,0.3000000000000682,4.327647058823531,9.13058823529412
95,2018-03-26 22:00:00+00:00,-6.9,109.2,5.6,458.0,2.5,2018-03-26 23:00:00+00:00,8.77578947368421,4.250526315789474,433.7684210526316,1.0,-6.800000000000004,109.30000000000007,2018-03-26 22:00:00+00:00,1,0.09999999999999609,0.10000000000006537,4.250526315789474,8.77578947368421
96,2018-03-26 23:00:00+00:00,-6.9,109.2,5.1,481.0,2.9,2018-03-27 00:00:00+00:00,4.73346153846154,2.294615384615385,447.2076923076921,1.0,-6.800000000000006,110.3000000000001,2018-03-26 23:00:00+00:00,1,0.09999999999999432,1.1000000000000938,2.294615384615385,4.73346153846154
97,2018-03-27 00:00:00+00:00,-6.8,109.2,4.8,472.0,2.9,2018-03-27 01:00:00+00:00,4.907777777777778,2.6222222222222222,466.73333333333335,1.0,-6.799999999999998,110.29999999999997,2018-03-27 00:00:00+00:00,1,1.7763568394002505e-15,1.099999999999966,2.6222222222222222,4.907777777777778
98,2018-03-27 01:00:00+00:00,-6.8,109.3,5.5,505.0,4.3,2018-03-27 02:00:00+00:00,5.626666666666666,2.648333333333334,479.2166666666667,1.0,-6.799999999999998,110.29999999999997,2018-03-27 01:00:00+00:00,1,1.7763568394002505e-15,0.9999999999999716,2.648333333333334,5.626666666666666
99,2018-03-27 02:00:00+00:00,-6.8,109.3,5.6,509.0,4.0,2018-03-27 03:00:00+00:00,5.951428571428572,3.221428571428572,501.2571428571429,1.0,-6.799999999999998,110.29999999999997,2018-03-27 02:00:00+00:00,1,1.7763568394002505e-15,0.9999999999999716,3.221428571428572,5.951428571428572
100,2018-03-27 03:00:00+00:00,-6.8,109.4,6.2,530.0,4.2,2018-03-27 04:00:00+00:00,5.325,2.7883333333333336,494.75000000000006,1.0,-6.799999999999998,110.29999999999997,2018-03-27 03:00:00+00:00,1,1.7763568394002505e-15,0.899999999999963,2.7883333333333336,5.325
101,2018-03-27 04:00:00+00:00,-6.8,109.4,4.7,526.0,4.2,2018-03-27 05:00:00+00:00,3.4628571428571426,3.7171428571428566,506.21428571428584,1.0,-6.799999999999998,110.29999999999997,2018-03-27 04:00:00+00:00,1,1.7763568394002505e-15,0.899999999999963,3.7171428571428566,3.4628571428571426
102,2018-03-27 05:00:00+00:00,-6.8,109.5,3.6,528.0,4.3,2018-03-27 06:00:00+00:00,7.779999999999999,5.4475,480.75000000000006,1.0,-6.799999999999999,110.29999999999998,2018-03-27 05:00:00+00:00,1,8.881784197001252e-16,0.799999999999983,5.4475,7.779999999999999
103,2018-03-27 06:00:00+00:00,-6.8,109.5,3.2,532.0,3.6,2018-03-27 07:00:00+00:00,3.882857142857143,2.9614285714285713,509.9857142857142,1.0,-6.799999999999998,110.29999999999997,2018-03-27 06:00:00+00:00,1,1.7763568394002505e-15,0.7999999999999687,2.9614285714285713,3.882857142857143
104,2018-03-27 07:00:00+00:00,-6.8,109.5,3.0,536.0,2.9,2018-03-27 08:00:00+00:00,5.798333333333333,5.361666666666667,488.4333333333334,1.0,-6.799999999999998,110.29999999999997,2018-03-27 07:00:00+00:00,1,1.7763568394002505e-15,0.7999999999999687,5.361666666666667,5.798333333333333
105,2018-03-27 08:00:00+00:00,-6.8,109.6,2.5,541.0,2.9,2018-03-27 09:00:00+00:00,4.766,3.5780000000000003,502.7799999999999,1.0,-6.799999999999999,110.29999999999998,2018-03-27 08:00:00+00:00,1,8.881784197001252e-16,0.6999999999999886,3.5780000000000003,4.766
106,2018-03-27 09:00:00+00:00,-6.8,109.6,3.6,541.0,2.3,2018-03-27 10:00:00+00:00,6.348333333333334,4.171666666666668,469.1499999999999,1.0,-6.799999999999998,110.29999999999997,2018-03-27 09:00:00+00:00,1,1.7763568394002505e-15,0.6999999999999744,4.171666666666668,6.348333333333334
107,2018-03-27 10:00:00+00:00,-6.8,109.7,3.4,530.0,2.4,2018-03-27 11:00:00+00:00,7.115714285714286,4.775714285714287,461.5,1.0,-6.799999999999998,110.29999999999997,2018-03-27 10:00:00+00:00,1,1.7763568394002505e-15,0.5999999999999659,4.775714285714287,7.115714285714286
108,2018-03-27 11:00:00+00:00,-6.8,109.7,3.9,530.0,2.4,2018-03-27 12:00:00+00:00,6.051666666666667,4.635,465.11666666666656,1.0,-6.799999999999998,110.29999999999997,2018-03-27 11:00:00+00:00,1,1.7763568394002505e-15,0.5999999999999659,4.635,6.051666666666667
109,2018-03-27 12:00:00+00:00,-6.8,109.7,3.5,530.0,2.4,2018-03-27 13:00:00+00:00,6.092857142857142,3.71,451.9714285714286,1.0,-6.799999999999998,110.29999999999997,2018-03-27 12:00:00+00:00,1,1.7763568394002505e-15,0.5999999999999659,3.71,6.092857142857142
110,2018-03-27 13:00:00+00:00,-6.8,109.8,3.5,538.0,2.3,2018-03-27 14:00:00+00:00,3.7066666666666666,2.7549999999999994,427.03333333333336,1.0,-6.799999999999998,110.29999999999997,2018-03-27 13:00:00+00:00,1,1.7763568394002505e-15,0.4999999999999716,2.7549999999999994,3.7066666666666666
314,2018-04-05 01:00:00+00:00,-6.4,118.2,3.5,334.0,14.1,2018-04-05 02:00:00+00:00,2.505,10.42,324.65,1.0,-6.3,119.5,2018-04-05 01:00:00+00:00,1,0.10000000000000053,1.2999999999999972,10.42,2.505
315,2018-04-05 02:00:00+00:00,-6.4,118.3,2.8,337.0,16.2,2018-04-05 03:00:00+00:00,4.398333333333334,8.311666666666667,324.15,1.0,-6.299999999999998,119.5,2018-04-05 02:00:00+00:00,1,0.10000000000000231,1.2000000000000028,8.311666666666667,4.398333333333334
316,2018-04-05 03:00:00+00:00,-6.4,118.3,4.5,346.0,10.4,2018-04-05 04:00:00+00:00,4.74,6.784285714285716,331.2,1.0,-6.299999999999998,119.5,2018-04-05 03:00:00+00:00,1,0.10000000000000231,1.2000000000000028,6.784285714285716,4.74
317,2018-04-05 04:00:00+00:00,-6.4,118.3,4.9,353.0,10.0,2018-04-05 05:00:00+00:00,6.010000000000001,6.318,330.09999999999997,1.0,-6.299999999999998,119.5,2018-04-05 04:00:00+00:00,1,0.10000000000000231,1.2000000000000028,6.318,6.010000000000001
320,2018-04-05 07:00:00+00:00,-6.4,118.5,5.5,351.0,10.8,2018-04-05 08:00:00+00:00,5.679,7.824500000000002,340.82499999999993,1.0,-6.300000000000004,119.5,2018-04-05 07:00:00+00:00,1,0.09999999999999609,1.0,7.824500000000002,5.679
321,2018-04-05 08:00:00+00:00,-6.4,118.5,5.9,355.0,9.5,2018-04-05 09:00:00+00:00,5.747692307692306,6.930384615384616,350.4999999999999,1.0,-6.300000000000006,119.5,2018-04-05 08:00:00+00:00,1,0.09999999999999432,1.0,6.930384615384616,5.747692307692306
322,2018-04-05 09:00:00+00:00,-6.4,118.6,5.3,360.0,8.7,2018-04-05 10:00:00+00:00,4.9592307692307696,7.197692307692308,343.15384615384613,1.0,-6.300000000000001,119.5,2018-04-05 09:00:00+00:00,1,0.09999999999999964,0.9000000000000057,7.197692307692308,4.9592307692307696
323,2018-04-05 10:00:00+00:00,-6.4,118.6,5.0,354.0,8.2,2018-04-05 11:00:00+00:00,4.002857142857143,7.1971428571428575,341.74285714285713,1.0,-6.299999999999998,119.5,2018-04-05 10:00:00+00:00,1,0.10000000000000231,0.9000000000000057,7.1971428571428575,4.002857142857143
324,2018-04-05 11:00:00+00:00,-6.4,118.6,4.0,355.0,8.4,2018-04-05 12:00:00+00:00,3.829999999999999,7.255714285714285,353.17142857142863,1.0,-6.299999999999998,119.5,2018-04-05 11:00:00+00:00,1,0.10000000000000231,0.9000000000000057,7.255714285714285,3.829999999999999
325,2018-04-05 12:00:00+00:00,-6.4,118.7,4.0,363.0,9.1,2018-04-05 13:00:00+00:00,3.5866666666666664,7.173333333333333,352.8,1.0,-6.299999999999998,119.5,2018-04-05 12:00:00+00:00,1,0.10000000000000231,0.7999999999999972,7.173333333333333,3.5866666666666664
326,2018-04-05 13:00:00+00:00,-6.4,118.7,3.4,371.0,10.2,2018-04-05 14:00:00+00:00,2.7457142857142856,8.407142857142857,357.4714285714286,1.0,-6.299999999999998,119.5,2018-04-05 13:00:00+00:00,1,0.10000000000000231,0.7999999999999972,8.407142857142857,2.7457142857142856
327,2018-04-05 14:00:00+00:00,-6.4,118.8,3.2,376.0,11.9,2018-04-05 15:00:00+00:00,4.511666666666667,8.655000000000001,369.9666666666667,1.0,-6.299999999999998,119.5,2018-04-05 14:00:00+00:00,1,0.10000000000000231,0.7000000000000028,8.655000000000001,4.511666666666667
328,2018-04-05 15:00:00+00:00,-6.4,118.8,4.7,381.0,11.5,2018-04-05 16:00:00+00:00,4.465714285714285,8.345238095238093,376.89047619047614,1.0,-6.300000000000004,119.5,2018-04-05 15:00:00+00:00,1,0.09999999999999609,0.7000000000000028,8.345238095238093,4.465714285714285
