,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_ARTEMIS_DENSITY,SCALED_ARTEMIS_MAG_AVG
52,2017-03-19 13:00:00+00:00,-7.1,102.1,2.7,318.0,9.0,2017-03-19 14:00:00+00:00,3.1683333333333334,7.178333333333334,312.6166666666666,1.0,-7.0,102.79999999999997,2017-03-19 13:00:00+00:00,1,0.09999999999999964,0.6999999999999744,7.178333333333334,3.1683333333333334
53,2017-03-19 14:00:00+00:00,-7.1,102.1,3.0,317.0,8.6,2017-03-19 15:00:00+00:00,3.3814285714285712,7.268571428571429,308.9285714285715,1.0,-7.0,102.79999999999997,2017-03-19 14:00:00+00:00,1,0.09999999999999964,0.6999999999999744,7.268571428571429,3.3814285714285712
54,2017-03-19 15:00:00+00:00,-7.1,102.2,3.3,310.0,8.5,2017-03-19 16:00:00+00:00,3.485,6.808333333333333,311.2,1.0,-7.0,102.79999999999997,2017-03-19 15:00:00+00:00,1,0.09999999999999964,0.5999999999999659,6.808333333333333,3.485
55,2017-03-19 16:00:00+00:00,-7.1,102.2,3.6,315.0,8.2,2017-03-19 17:00:00+00:00,3.9637499999999988,6.185416666666666,308.1333333333333,1.0,-7.0,102.80000000000008,2017-03-19 16:00:00+00:00,1,0.09999999999999964,0.6000000000000796,6.185416666666666,3.9637499999999988
56,2017-03-19 17:00:00+00:00,-7.1,102.2,4.0,314.0,8.2,2017-03-19 18:00:00+00:00,4.364230769230772,5.969230769230764,308.3076923076923,1.0,-7.0,102.8000000000001,2017-03-19 17:00:00+00:00,1,0.09999999999999964,0.6000000000000938,5.969230769230764,4.364230769230772
57,2017-03-19 18:00:00+00:00,-7.1,102.3,4.2,313.0,8.2,2017-03-19 19:00:00+00:00,4.013076923076923,6.653461538461538,304.34230769230777,1.0,-7.0,102.8000000000001,2017-03-19 18:00:00+00:00,1,0.09999999999999964,0.5000000000000995,6.653461538461538,4.013076923076923
58,2017-03-19 19:00:00+00:00,-7.1,102.3,3.8,310.0,8.5,2017-03-19 20:00:00+00:00,3.6123076923076924,7.445000000000001,307.7192307692307,1.0,-7.0,102.8000000000001,2017-03-19 19:00:00+00:00,1,0.09999999999999964,0.5000000000000995,7.445000000000001,3.6123076923076924
59,2017-03-19 20:00:00+00:00,-7.1,102.4,3.6,316.0,9.2,2017-03-19 21:00:00+00:00,4.338518518518519,7.580370370370371,308.70370370370387,1.0,-7.0,102.8000000000001,2017-03-19 20:00:00+00:00,1,0.09999999999999964,0.40000000000009095,7.580370370370371,4.338518518518519
60,2017-03-19 21:00:00+00:00,-7.1,102.4,4.0,316.0,8.7,2017-03-19 22:00:00+00:00,4.533846153846152,7.246923076923074,305.973076923077,1.0,-7.0,102.8000000000001,2017-03-19 21:00:00+00:00,1,0.09999999999999964,0.40000000000009095,7.246923076923074,4.533846153846152
61,2017-03-19 22:00:00+00:00,-7.1,102.4,4.3,309.0,8.7,2017-03-19 23:00:00+00:00,3.4708333333333337,8.379166666666668,306.4416666666667,1.0,-7.0,102.80000000000001,2017-03-19 22:00:00+00:00,1,0.09999999999999964,0.4000000000000057,8.379166666666668,3.4708333333333337
