EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,Dist2Sun_AU,HGI_LAT_deg,HGI_LONG_deg,SW_FLOW_SPEED_km_s,SW_PROTON_DENS_protons_cm3
 1973-02-07T06:00:00.000Z,3.6,3.4,222.4,439.1,0.2224
 1973-02-07T07:00:00.000Z,3.6,3.4,222.4,-1.00E+31,-1.00E+31
 1973-02-07T08:00:00.000Z,3.6,3.4,222.4,439.1,0.1508
 1973-02-07T09:00:00.000Z,3.6,3.4,222.4,-1.00E+31,-1.00E+31
 1973-02-07T10:00:00.000Z,3.6,3.4,222.4,439.3,0.1928
 1973-02-07T11:00:00.000Z,3.6,3.4,222.4,436.9,0.1824
 1973-02-07T12:00:00.000Z,3.6,3.4,222.4,442.2,0.177
 1973-02-07T13:00:00.000Z,3.6,3.4,222.4,-1.00E+31,-1.00E+31
 1973-02-07T14:00:00.000Z,3.6,3.4,222.4,441.1,0.1882
 1973-02-07T15:00:00.000Z,3.6,3.4,222.4,-1.00E+31,-1.00E+31
 1973-02-07T16:00:00.000Z,3.6,3.4,222.4,439.8,0.2215
 1973-02-07T17:00:00.000Z,3.6,3.4,222.4,-1.00E+31,-1.00E+31
 1973-02-07T18:00:00.000Z,3.6,3.4,222.4,438.6,0.2181
 1973-02-07T19:00:00.000Z,3.6,3.4,222.4,435.4,0.2239
 1973-02-07T20:00:00.000Z,3.6,3.4,222.4,-1.00E+31,-1.00E+31
 1973-02-07T21:00:00.000Z,3.6,3.4,222.5,433.2,0.2033
 1973-02-07T22:00:00.000Z,3.6,3.4,222.5,-1.00E+31,-1.00E+31
 1973-02-07T23:00:00.000Z,3.6,3.4,222.5,-1.00E+31,-1.00E+31
 1973-02-08T00:00:00.000Z,3.6,3.4,222.5,433.1,0.0979
 1973-02-08T01:00:00.000Z,3.6,3.4,222.4,-1.00E+31,-1.00E+31
 1973-02-08T02:00:00.000Z,3.6,3.4,222.4,-1.00E+31,-1.00E+31
 1973-02-08T03:00:00.000Z,3.6,3.4,222.4,-1.00E+31,-1.00E+31
 1973-02-08T04:00:00.000Z,3.6,3.4,222.4,426.4,0.1364
 1973-02-08T05:00:00.000Z,3.6,3.4,222.5,434.6,0.0432
 1973-02-08T06:00:00.000Z,3.6,3.4,222.5,423.7,0.1037
 1973-02-08T07:00:00.000Z,3.6,3.4,222.5,424.3,0.0849
 1973-02-08T08:00:00.000Z,3.6,3.4,222.5,422.6,0.1471
 1973-02-08T09:00:00.000Z,3.6,3.4,222.5,423.2,0.1264
 1973-02-08T10:00:00.000Z,3.6,3.4,222.5,423.4,0.1378
 1973-02-08T11:00:00.000Z,3.6,3.4,222.5,425.9,0.1253
