EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG
 2018-06-05T00:00:00.000Z,1.02,-0.2,178.4
 2018-06-06T00:00:00.000Z,1.01,-0.1,179.4
 2018-06-07T00:00:00.000Z,1.01,0,180.3
 2018-06-08T00:00:00.000Z,1.01,0.2,181.3
 2018-06-09T00:00:00.000Z,1.01,0.3,182.2
 2018-06-10T00:00:00.000Z,1.01,0.4,183.2
 2018-06-11T00:00:00.000Z,1.01,0.5,184.1
 2018-06-12T00:00:00.000Z,1.01,0.6,185
 2018-06-13T00:00:00.000Z,1.01,0.7,185.9
 2018-06-14T00:00:00.000Z,1.01,0.9,186.8
 2018-06-15T00:00:00.000Z,1.01,1,187.8
 2018-06-16T00:00:00.000Z,1.01,1.1,188.7
 2018-06-17T00:00:00.000Z,1.01,1.2,189.6
 2018-06-18T00:00:00.000Z,1.01,1.3,190.5
 2018-06-19T00:00:00.000Z,1.02,1.5,191.5
 2018-06-20T00:00:00.000Z,1.02,1.6,192.4
 2018-06-21T00:00:00.000Z,1.02,1.7,193.3
 2018-06-22T00:00:00.000Z,1.02,1.8,194.3
 2018-06-23T00:00:00.000Z,1.02,1.9,195.2
 2018-06-24T00:00:00.000Z,1.02,2.1,196.2
 2018-06-25T00:00:00.000Z,1.02,2.2,197.2
 2018-06-26T00:00:00.000Z,1.02,2.3,198.2
 2018-06-27T00:00:00.000Z,1.02,2.4,199.1
 2018-06-28T00:00:00.000Z,1.02,2.5,200.1
 2018-06-29T00:00:00.000Z,1.02,2.6,201.1
 2018-06-30T00:00:00.000Z,1.02,2.7,202.1
 2018-07-01T00:00:00.000Z,1.02,2.9,203
 2018-07-02T00:00:00.000Z,1.02,3,204
 2018-07-03T00:00:00.000Z,1.02,3.1,205
 2018-07-04T00:00:00.000Z,1.02,3.2,205.9
 2018-07-05T00:00:00.000Z,1.02,3.3,206.9
 2018-07-06T00:00:00.000Z,1.02,3.4,207.8
 2018-07-07T00:00:00.000Z,1.02,3.5,208.8
 2018-07-08T00:00:00.000Z,1.02,3.6,209.7
 2018-07-09T00:00:00.000Z,1.02,3.7,210.7
 2018-07-10T00:00:00.000Z,1.01,3.8,211.6
 2018-07-11T00:00:00.000Z,1.01,3.9,212.5
 2018-07-12T00:00:00.000Z,1.01,4,213.4
 2018-07-13T00:00:00.000Z,1.01,4.1,214.4
 2018-07-14T00:00:00.000Z,1.01,4.2,215.3
 2018-07-15T00:00:00.000Z,1.01,4.3,216.2
 2018-07-16T00:00:00.000Z,1.01,4.4,217.1
 2018-07-17T00:00:00.000Z,1.01,4.5,218
 2018-07-18T00:00:00.000Z,1.02,4.6,219
 2018-07-19T00:00:00.000Z,1.02,4.7,219.9
 2018-07-20T00:00:00.000Z,1.02,4.8,220.9
 2018-07-21T00:00:00.000Z,1.02,4.9,221.8
 2018-07-22T00:00:00.000Z,1.02,5,222.8
 2018-07-23T00:00:00.000Z,1.02,5,223.8
 2018-07-24T00:00:00.000Z,1.02,5.1,224.7
 2018-07-25T00:00:00.000Z,1.02,5.2,225.7
 2018-07-26T00:00:00.000Z,1.02,5.3,226.7
 2018-07-27T00:00:00.000Z,1.02,5.4,227.7
 2018-07-28T00:00:00.000Z,1.02,5.5,228.7
 2018-07-29T00:00:00.000Z,1.02,5.5,229.6
 2018-07-30T00:00:00.000Z,1.02,5.6,230.6
 2018-07-31T00:00:00.000Z,1.02,5.7,231.6
 2018-08-01T00:00:00.000Z,1.02,5.8,232.6
 2018-08-02T00:00:00.000Z,1.02,5.8,233.6
 2018-08-03T00:00:00.000Z,1.02,5.9,234.5
 2018-08-04T00:00:00.000Z,1.01,6,235.5
 2018-08-05T00:00:00.000Z,1.01,6,236.5
 2018-08-06T00:00:00.000Z,1.01,6.1,237.4
 2018-08-07T00:00:00.000Z,1.01,6.2,238.4
 2018-08-08T00:00:00.000Z,1.01,6.2,239.3
 2018-08-09T00:00:00.000Z,1.01,6.3,240.2
 2018-08-10T00:00:00.000Z,1.01,6.4,241.2
 2018-08-11T00:00:00.000Z,1.01,6.4,242.1
 2018-08-12T00:00:00.000Z,1.01,6.5,243
 2018-08-13T00:00:00.000Z,1.01,6.5,244
 2018-08-14T00:00:00.000Z,1.01,6.6,244.9
 2018-08-15T00:00:00.000Z,1.01,6.6,245.8
 2018-08-16T00:00:00.000Z,1.01,6.7,246.8
 2018-08-17T00:00:00.000Z,1.01,6.7,247.7
 2018-08-18T00:00:00.000Z,1.01,6.8,248.7
