EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,Ion_Density_n_cc,Ion_Velocity_km_s,Distance_From_Sun_AU,HGI_LAT_deg,HGI_LON_deg
2019-08-03 02:00:00+00:00,3.1142857142857143,382.2142857142857,1.01,5.8999999999999995,234.09999999999997
2019-08-03 03:00:00+00:00,3.0766666666666667,377.1166666666666,1.01,5.8999999999999995,234.1
2019-08-03 04:00:00+00:00,3.0085714285714285,379.2,1.01,5.8999999999999995,234.09999999999997
2019-08-03 05:00:00+00:00,2.856666666666667,378.56666666666666,1.01,5.8999999999999995,234.1
2019-08-03 06:00:00+00:00,2.814285714285714,376.85714285714295,1.01,5.8999999999999995,234.09999999999997
2019-08-03 07:00:00+00:00,2.8285714285714287,374.75714285714287,1.01,5.8999999999999995,234.09999999999997
2019-08-03 08:00:00+00:00,2.8033333333333332,372.4166666666667,1.01,5.8999999999999995,234.1
2019-08-03 09:00:00+00:00,2.985714285714286,372.7857142857143,1.01,5.8999999999999995,234.09999999999997
2019-08-03 10:00:00+00:00,3.213333333333333,366.90000000000003,1.01,5.8999999999999995,234.1
2019-08-03 11:00:00+00:00,3.2542857142857144,361.05714285714294,1.01,5.8999999999999995,234.09999999999997
2019-08-03 12:00:00+00:00,3.22,357.8,1.01,5.8999999999999995,234.1
2019-08-03 13:00:00+00:00,3.1714285714285717,357.8142857142857,1.01,5.8999999999999995,234.09999999999997
2019-08-03 14:00:00+00:00,3.1400000000000006,358.8142857142857,1.01,5.9,234.09999999999994
2019-08-03 15:00:00+00:00,3.5657692307692312,357.2576923076923,1.0100000000000007,5.900000000000002,234.10000000000008
2019-08-03 16:00:00+00:00,3.663846153846154,356.88846153846146,1.0100000000000007,5.900000000000002,234.10000000000008
2019-08-03 17:00:00+00:00,3.5888461538461534,352.90384615384613,1.0100000000000007,5.900000000000002,234.10000000000008
2019-08-03 18:00:00+00:00,3.641923076923077,351.33076923076925,1.0100000000000007,5.900000000000002,234.10000000000008
2019-08-03 19:00:00+00:00,3.8057692307692297,343.8153846153846,1.0100000000000007,5.900000000000002,234.10000000000008
2019-08-03 20:00:00+00:00,0.9954166666666665,297.53749999999997,1.0100000000000005,5.900000000000002,234.10000000000005
2019-08-03 21:00:00+00:00,4.708518518518518,340.74074074074076,1.0100000000000007,5.900000000000002,234.1000000000001
2019-08-03 22:00:00+00:00,4.76,337.073076923077,1.0100000000000007,5.900000000000002,234.10000000000008
2019-08-03 23:00:00+00:00,4.684615384615385,335.2269230769231,1.0100000000000007,5.900000000000002,234.10000000000008
2019-08-04 00:00:00+00:00,4.942608695652174,337.2826086956522,1.0100000000000005,6.0,235.0
2019-08-04 01:00:00+00:00,5.557142857142857,337.7857142857143,1.01,6.0,235.0
2019-08-04 02:00:00+00:00,6.313333333333333,339.53333333333336,1.01,6.0,235.0
2019-08-04 03:00:00+00:00,6.001428571428571,340.88571428571424,1.01,6.0,235.0
