EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_HGI_LAT_deg,OMNI_HGI_LON_deg,OMNI_speed_km_s,OMNI_density_n_cc
 1973-02-13T03:00:00.000Z,-6.7,68.4,401,3.2
 1973-02-13T04:00:00.000Z,-6.7,68.4,404,3.4
 1973-02-13T05:00:00.000Z,-6.7,68.4,397,3.6
 1973-02-13T06:00:00.000Z,-6.7,68.5,393,3.9
 1973-02-13T07:00:00.000Z,-6.8,68.5,386,3.8
 1973-02-13T08:00:00.000Z,-6.8,68.6,383,4
 1973-02-13T09:00:00.000Z,-6.8,68.6,381,3.6
 1973-02-13T10:00:00.000Z,-6.8,68.7,378,4.1
 1973-02-13T11:00:00.000Z,-6.8,68.7,390,4.1
 1973-02-13T12:00:00.000Z,-6.8,68.7,378,4.5
 1973-02-13T13:00:00.000Z,-6.8,68.8,362,4.9
 1973-02-13T14:00:00.000Z,-6.8,68.8,367,5.2
 1973-02-13T15:00:00.000Z,-6.8,68.9,359,5.3
 1973-02-13T16:00:00.000Z,-6.8,68.9,363,5.1
 1973-02-13T17:00:00.000Z,-6.8,68.9,360,5.8
 1973-02-13T18:00:00.000Z,-6.8,69,372,5.3
 1973-02-13T19:00:00.000Z,-6.8,69,369,6.5
 1973-02-13T20:00:00.000Z,-6.8,69.1,364,6.9
 1973-02-13T21:00:00.000Z,-6.8,69.1,401,12.1
 1973-02-13T22:00:00.000Z,-6.8,69.2,408,14
 1973-02-13T23:00:00.000Z,-6.8,69.2,408,14.2
 1973-02-14T00:00:00.000Z,-6.8,69.2,390,15.4
 1973-02-14T01:00:00.000Z,-6.8,69.3,405,11.8
 1973-02-14T02:00:00.000Z,-6.8,69.3,406,12.5
 1973-02-14T03:00:00.000Z,-6.8,69.4,417,11.4
 1973-02-14T04:00:00.000Z,-6.8,69.4,422,10.7
 1973-02-14T05:00:00.000Z,-6.8,69.5,407,12.3
 1973-02-14T06:00:00.000Z,-6.8,69.5,419,14.9
 1973-02-14T07:00:00.000Z,-6.8,69.5,425,15.1
 1973-02-14T08:00:00.000Z,-6.8,69.6,420,13.7
 1973-02-14T09:00:00.000Z,-6.8,69.6,412,15.4
 1973-02-14T10:00:00.000Z,-6.8,69.7,413,13.2
 1973-02-14T11:00:00.000Z,-6.8,69.7,409,10.5
 1973-02-14T12:00:00.000Z,-6.8,69.8,400,14.3
 1973-02-14T13:00:00.000Z,-6.8,69.8,389,15.2
 1973-02-14T14:00:00.000Z,-6.8,69.8,389,18
 1973-02-14T15:00:00.000Z,-6.8,69.9,391,17
 1973-02-14T16:00:00.000Z,-6.8,69.9,404,11.4
 1973-02-14T17:00:00.000Z,-6.8,70,403,8.3
 1973-02-14T18:00:00.000Z,-6.8,70,406,7.4
 1973-02-14T19:00:00.000Z,-6.8,70,418,9.1
