EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BULK_FLOW_SPEED_km/s,ION_DENSITY_N/cm3
 2019-08-09T12:00:00.000Z,6.2,239.2,-1.00E+31,-1.00E+31
 2019-08-09T13:00:00.000Z,6.2,239.3,-1.00E+31,-1.00E+31
 2019-08-09T14:00:00.000Z,6.2,239.3,-1.00E+31,-1.00E+31
 2019-08-09T15:00:00.000Z,6.2,239.3,-1.00E+31,-1.00E+31
 2019-08-09T16:00:00.000Z,6.2,239.4,-1.00E+31,-1.00E+31
 2019-08-09T17:00:00.000Z,6.3,239.4,545,4.1
 2019-08-09T18:00:00.000Z,6.3,239.5,546,3.2
 2019-08-09T19:00:00.000Z,6.3,239.5,546,3.2
 2019-08-09T20:00:00.000Z,6.3,239.5,562,3.7
 2019-08-09T21:00:00.000Z,6.3,239.6,608,4.2
 2019-08-09T22:00:00.000Z,6.3,239.6,627,3.5
 2019-08-09T23:00:00.000Z,6.3,239.7,624,3.8
 2019-08-10T00:00:00.000Z,6.3,239.7,630,3.1
 2019-08-10T01:00:00.000Z,6.3,239.7,628,2.2
 2019-08-10T02:00:00.000Z,6.3,239.8,618,2.1
 2019-08-10T03:00:00.000Z,6.3,239.8,603,1.6
 2019-08-10T04:00:00.000Z,6.3,239.9,594,1.6
 2019-08-10T05:00:00.000Z,6.3,239.9,575,1.5
 2019-08-10T06:00:00.000Z,6.3,239.9,563,1.5
 2019-08-10T07:00:00.000Z,6.3,240,544,1.4
 2019-08-10T08:00:00.000Z,6.3,240,530,1.5
 2019-08-10T09:00:00.000Z,6.3,240.1,523,1.5
 2019-08-10T10:00:00.000Z,6.3,240.1,511,1.6
 2019-08-10T11:00:00.000Z,6.3,240.1,520,1.7
 2019-08-10T12:00:00.000Z,6.3,240.2,512,1.3
 2019-08-10T13:00:00.000Z,6.3,240.2,515,1.8
 2019-08-10T14:00:00.000Z,6.3,240.3,496,1.8
 2019-08-10T15:00:00.000Z,6.3,240.3,479,1.9
 2019-08-10T16:00:00.000Z,6.3,240.3,471,1.8
 2019-08-10T17:00:00.000Z,6.3,240.4,469,2.2
 2019-08-10T18:00:00.000Z,6.3,240.4,486,2.8
 2019-08-10T19:00:00.000Z,6.3,240.5,503,3.3
 2019-08-10T20:00:00.000Z,6.3,240.5,505,3.1
 2019-08-10T21:00:00.000Z,6.3,240.5,491,3.2
 2019-08-10T22:00:00.000Z,6.3,240.6,510,2.8
 2019-08-10T23:00:00.000Z,6.3,240.6,498,2.4
 2019-08-11T00:00:00.000Z,6.3,240.7,478,2.2
 2019-08-11T01:00:00.000Z,6.3,240.7,469,2.1
 2019-08-11T02:00:00.000Z,6.3,240.7,455,2.6
 2019-08-11T03:00:00.000Z,6.3,240.8,446,2.7
 2019-08-11T04:00:00.000Z,6.3,240.8,450,2.9
 2019-08-11T05:00:00.000Z,6.3,240.9,448,3
 2019-08-11T06:00:00.000Z,6.3,240.9,434,3.2
 2019-08-11T07:00:00.000Z,6.3,240.9,427,3.5
 2019-08-11T08:00:00.000Z,6.3,241,442,3.6
 2019-08-11T09:00:00.000Z,6.4,241,450,3.8
 2019-08-11T10:00:00.000Z,6.4,241.1,471,5.2
 2019-08-11T11:00:00.000Z,6.4,241.1,462,5.4
 2019-08-11T12:00:00.000Z,6.4,241.1,455,6.4
 2019-08-11T13:00:00.000Z,6.4,241.2,446,6
 2019-08-11T14:00:00.000Z,6.4,241.2,459,5.4
 2019-08-11T15:00:00.000Z,6.4,241.3,462,4.7
 2019-08-11T16:00:00.000Z,6.4,241.3,449,4.8
 2019-08-11T17:00:00.000Z,6.4,241.3,450,5.2
 2019-08-11T18:00:00.000Z,6.4,241.4,441,3.3
 2019-08-11T19:00:00.000Z,6.4,241.4,430,3.8
 2019-08-11T20:00:00.000Z,6.4,241.5,428,3.9
 2019-08-11T21:00:00.000Z,6.4,241.5,422,6.4
 2019-08-11T22:00:00.000Z,6.4,241.5,403,5.6
 2019-08-11T23:00:00.000Z,6.4,241.6,410,5.4
 2019-08-12T00:00:00.000Z,6.4,241.6,393,5.9
 2019-08-12T01:00:00.000Z,6.4,241.7,388,7.2
 2019-08-12T02:00:00.000Z,6.4,241.7,397,9.6
 2019-08-12T03:00:00.000Z,6.4,241.7,388,12.8
 2019-08-12T04:00:00.000Z,6.4,241.8,381,12.9
 2019-08-12T05:00:00.000Z,6.4,241.8,377,13.5
 2019-08-12T06:00:00.000Z,6.4,241.9,379,13.7
 2019-08-12T07:00:00.000Z,6.4,241.9,376,13.7
 2019-08-12T08:00:00.000Z,6.4,241.9,384,12.7
 2019-08-12T09:00:00.000Z,6.4,242,399,8.1
 2019-08-12T10:00:00.000Z,6.4,242,434,8.6
 2019-08-12T11:00:00.000Z,6.4,242.1,440,7.4
 2019-08-12T12:00:00.000Z,6.4,242.1,448,5.8
 2019-08-12T13:00:00.000Z,6.4,242.1,457,5.8
 2019-08-12T14:00:00.000Z,6.4,242.2,457,5.4
 2019-08-12T15:00:00.000Z,6.4,242.2,467,4.5
 2019-08-12T16:00:00.000Z,6.4,242.3,464,4.5
 2019-08-12T17:00:00.000Z,6.4,242.3,461,4.8
 2019-08-12T18:00:00.000Z,6.4,242.3,469,5.8
 2019-08-12T19:00:00.000Z,6.4,242.4,464,5.7
 2019-08-12T20:00:00.000Z,6.4,242.4,461,6.2
 2019-08-12T21:00:00.000Z,6.4,242.5,458,6.4
 2019-08-12T22:00:00.000Z,6.4,242.5,455,7.6
 2019-08-12T23:00:00.000Z,6.4,242.5,456,9.6
 2019-08-13T00:00:00.000Z,6.4,242.6,457,10.1
 2019-08-13T01:00:00.000Z,6.4,242.6,448,6.1
 2019-08-13T02:00:00.000Z,6.4,242.7,432,4.7
 2019-08-13T03:00:00.000Z,6.5,242.7,430,5.2
 2019-08-13T04:00:00.000Z,6.5,242.7,428,4.8
 2019-08-13T05:00:00.000Z,6.5,242.8,427,4.7
 2019-08-13T06:00:00.000Z,6.5,242.8,422,4.4
 2019-08-13T07:00:00.000Z,6.5,242.9,427,4.9
 2019-08-13T08:00:00.000Z,6.5,242.9,430,5.4
 2019-08-13T09:00:00.000Z,6.5,242.9,450,5.2
